"nuts2_code","year","urban_coverage%"
"AT",2018,4.9
"AT1",2018,6.6
"AT11",2018,14.4
"AT12",2018,8.3
"AT13",2018,14.1
"AT2",2018,12.3
"AT21",2018,15.8
"AT22",2018,16.5
"AT3",2018,7.4
"AT31",2018,9.3
"AT32",2018,20.8
"AT33",2018,17.4
"AT34",2018,25.3
"BE",2018,4.2
"BE1",2018,12.2
"BE10",2018,12.2
"BE2",2018,5.1
"BE21",2018,8.7
"BE22",2018,17
"BE23",2018,11.9
"BE24",2018,11.4
"BE25",2018,11
"BE3",2018,8.1
"BE31",2018,19.4
"BE32",2018,9.5
"BE33",2018,15.5
"BE34",2018,36.8
"BE35",2018,23.4
"BG",2018,8.4
"BG3",2018,10.8
"BG31",2018,15.7
"BG32",2018,25.1
"BG33",2018,18.4
"BG34",2018,27.1
"BG4",2018,13.2
"BG41",2018,14.1
"BG42",2018,23
"CY",2018,6.5
"CY0",2018,6.5
"CY00",2018,6.5
"CZ01",2018,36.4
"CZ02",2018,26.8
"CZ03",2018,15.6
"CZ04",2018,20.8
"CZ05",2018,16.5
"CZ06",2018,17.9
"CZ07",2018,26.9
"CZ08",2018,27.7
"DE",2018,2.5
"DE1",2018,8.5
"DE11",2018,16.4
"DE12",2018,18.4
"DE13",2018,17.4
"DE14",2018,12.8
"DE2",2018,5.3
"DE21",2018,8.7
"DE22",2018,12.8
"DE23",2018,20.7
"DE24",2018,18.1
"DE25",2018,14.8
"DE26",2018,17.1
"DE27",2018,10.8
"DE3",2018,26.3
"DE30",2018,26.3
"DE4",2018,11.4
"DE40",2018,11.4
"DE5",2018,12.4
"DE50",2018,12.4
"DE6",2018,15.1
"DE60",2018,15.1
"DE7",2018,8
"DE71",2018,10.2
"DE72",2018,21.8
"DE73",2018,14
"DE8",2018,21.4
"DE80",2018,21.4
"DE9",2018,5.8
"DE91",2018,13.7
"DE92",2018,15
"DE93",2018,12.6
"DE94",2018,8.1
"DEA",2018,6
"DEA1",2018,9.2
"DEA2",2018,11.4
"DEA3",2018,13.4
"DEA4",2018,13.5
"DEA5",2018,17.1
"DEB",2018,9.4
"DEB1",2018,14.6
"DEB2",2018,24.5
"DEB3",2018,13.5
"DEC",2018,17.6
"DEC0",2018,17.6
"DED",2018,8.6
"DED2",2018,14.6
"DED4",2018,10
"DED5",2018,18.7
"DEE",2018,14.8
"DEE0",2018,14.8
"DEF",2018,16.2
"DEF0",2018,16.2
"DEG",2018,9.5
"DEG0",2018,9.5
"DK",2018,5.3
"DK0",2018,5.3
"DK01",2018,14.1
"DK02",2018,11.4
"DK03",2018,9.5
"DK04",2018,12.2
"DK05",2018,13.5
"EE",2018,9.2
"EE0",2018,9.2
"EE00",2018,9.2
"EL",2018,5.2
"EL3",2018,8.9
"EL30",2018,8.9
"EL4",2018,12.1
"EL41",2018,20.2
"EL42",2018,18.7
"EL43",2018,21.7
"EL5",2018,8.3
"EL51",2018,14.9
"EL52",2018,12
"EL53",2018,25.4
"EL54",2018,20.4
"EL6",2018,9.8
"EL61",2018,13.8
"EL62",2018,24.9
"EL63",2018,14.3
"EL64",2018,15.3
"EL65",2018,25.6
"ES",2018,3.1
"ES1",2018,7.3
"ES11",2018,9.4
"ES12",2018,13.6
"ES13",2018,14.2
"ES2",2018,7.1
"ES21",2018,12.5
"ES22",2018,13.4
"ES23",2018,22.5
"ES24",2018,11.2
"ES3",2018,7.4
"ES30",2018,7.4
"ES4",2018,7.6
"ES41",2018,14.4
"ES42",2018,8.9
"ES43",2018,10.8
"ES5",2018,5.7
"ES51",2018,7.6
"ES52",2018,8.2
"ES53",2018,23.4
"ES6",2018,6.9
"ES61",2018,8.1
"ES62",2018,12.5
"EU27_2007",2018,0.8
"EU27_2020",2018,0.9
"EU28",2018,0.8
"EU_V",2018,0.9
"FI",2018,5.3
"FI1",2018,5.3
"FI19",2018,9.6
"FI1B",2018,7.9
"FI1C",2018,8.2
"FI1D",2018,9.9
"FI2",2018,46.1
"FI20",2018,46.1
"FR",2018,2.5
"FR1",2018,16.6
"FR10",2018,16.6
"FRB",2018,8.9
"FRB0",2018,8.9
"FRC",2018,8.2
"FRC1",2018,11.6
"FRC2",2018,9.5
"FRD",2018,8.7
"FRD1",2018,12.2
"FRD2",2018,11.7
"FRE",2018,17.4
"FRE1",2018,8.7
"FRE2",2018,31.9
"FRF",2018,6.9
"FRF1",2018,12.5
"FRF2",2018,10.4
"FRF3",2018,12.3
"FRG",2018,6.5
"FRG0",2018,6.5
"FRH",2018,7.6
"FRH0",2018,7.6
"FRI",2018,5.9
"FRI1",2018,10.2
"FRI2",2018,14.4
"FRI3",2018,6.6
"FRJ",2018,7.2
"FRJ1",2018,11.1
"FRJ2",2018,9.4
"FRK",2018,6.1
"FRK1",2018,10.6
"FRK2",2018,7.4
"FRL",2018,8.2
"FRL0",2018,8.2
"FRM",2018,34.3
"FRM0",2018,34.3
"HR03",2018,12.4
"HR04",2018,6.6
"HU",2018,5.8
"HU1",2018,9.6
"HU11",2018,11.1
"HU12",2018,14.7
"HU2",2018,11.8
"HU21",2018,20.6
"HU22",2018,18.5
"HU23",2018,22.5
"HU3",2018,8.2
"HU31",2018,19.5
"HU32",2018,14
"HU33",2018,10.8
"IE",2018,8.5
"IE0",2018,8.5
"IE04",2018,13
"IE05",2018,14.9
"IE06",2018,11.6
"IT",2018,2.1
"ITC",2018,3.8
"ITC1",2018,7.7
"ITC2",2018,23.5
"ITC3",2018,14.2
"ITC4",2018,4.5
"ITF",2018,5
"ITF1",2018,9.9
"ITF2",2018,32.2
"ITF3",2018,9.5
"ITF4",2018,10.8
"ITF5",2018,15.3
"ITF6",2018,10.9
"ITG",2018,6
"ITG1",2018,7.3
"ITG2",2018,10.2
"ITH",2018,4.7
"ITH1",2018,37.4
"ITH2",2018,20.5
"ITH3",2018,7.8
"ITH4",2018,11.8
"ITH5",2018,6.9
"ITI",2018,5.1
"ITI1",2018,8.8
"ITI2",2018,11.1
"ITI3",2018,15.6
"ITI4",2018,7.4
"LT",2018,7.9
"LT0",2018,7.9
"LT01",2018,14.1
"LT02",2018,9.1
"LU",2018,14.6
"LU0",2018,14.6
"LU00",2018,14.6
"LV",2018,7.3
"LV0",2018,7.3
"LV00",2018,7.3
"MT",2018,9.2
"MT0",2018,9.2
"MT00",2018,9.2
"NL",2018,3.8
"NL1",2018,7.7
"NL11",2018,12.5
"NL12",2018,12.7
"NL13",2018,15.3
"NL2",2018,7.4
"NL21",2018,12.4
"NL22",2018,10.5
"NL23",2018,14.5
"NL3",2018,5.5
"NL31",2018,13.7
"NL32",2018,12.4
"NL33",2018,6.8
"NL34",2018,15.6
"NL4",2018,9.5
"NL41",2018,12
"NL42",2018,14.8
"PL",2018,3.5
"PL2",2018,6.8
"PL21",2018,11.6
"PL22",2018,8.3
"PL4",2018,7.4
"PL41",2018,9.6
"PL42",2018,16.4
"PL43",2018,15.9
"PL5",2018,13.8
"PL51",2018,16.3
"PL52",2018,22.4
"PL6",2018,10.6
"PL61",2018,13.5
"PL62",2018,23.6
"PL63",2018,13.1
"PL7",2018,8.1
"PL71",2018,10.5
"PL72",2018,12.6
"PL8",2018,9.8
"PL81",2018,13
"PL82",2018,14.3
"PL84",2018,21.7
"PL9",2018,8.6
"PL91",2018,10.1
"PL92",2018,12.8
"PT",2018,5.1
"PT1",2018,5.1
"PT11",2018,10.2
"PT15",2018,19.7
"PT16",2018,8.3
"PT17",2018,10.6
"PT18",2018,13
"RO",2018,4.7
"RO1",2018,8.7
"RO11",2018,14
"RO12",2018,10.4
"RO2",2018,10.1
"RO21",2018,13
"RO22",2018,15.5
"RO3",2018,10.7
"RO31",2018,13
"RO32",2018,9.9
"RO4",2018,8.4
"RO41",2018,9.7
"RO42",2018,13.2
"SE",2018,4.9
"SE1",2018,10
"SE11",2018,14.4
"SE12",2018,13.1
"SE2",2018,7.5
"SE21",2018,12.1
"SE22",2018,11.4
"SE23",2018,13.7
"SE3",2018,10
"SE31",2018,18.9
"SE32",2018,25.4
"SE33",2018,11.4
"SI",2018,6.8
"SI0",2018,6.8
"SI03",2018,12
"SI04",2018,16.9
"SK",2018,7.4
"SK0",2018,7.4
"SK01",2018,26
"SK02",2018,11.3
"SK03",2018,17.5
"SK04",2018,14.2
"UK",2018,2.5
"UKC",2018,10.1
"UKC1",2018,17.6
"UKC2",2018,10.7
"UKD",2018,6.8
"UKD1",2018,18.6
"UKD3",2018,11.5
"UKD4",2018,17.7
"UKD6",2018,15.3
"UKD7",2018,12.8
"UKE",2018,6.7
"UKE1",2018,12.5
"UKE2",2018,15.3
"UKE3",2018,13.4
"UKE4",2018,12.3
"UKF",2018,8.1
"UKF1",2018,12
"UKF2",2018,15.4
"UKF3",2018,13.9
"UKG",2018,8.4
"UKG1",2018,15.2
"UKG2",2018,11.3
"UKG3",2018,16.9
"UKH",2018,8.5
"UKH1",2018,15.1
"UKH2",2018,12
"UKH3",2018,11.5
"UKI",2018,7.6
"UKI3",2018,17.6
"UKI4",2018,16.2
"UKI5",2018,12.2
"UKI6",2018,28
"UKI7",2018,11.1
"UKJ",2018,6.3
"UKJ1",2018,11.6
"UKJ2",2018,12.5
"UKJ3",2018,11.9
"UKJ4",2018,13.8
"UKK",2018,7.2
"UKK1",2018,9.2
"UKK2",2018,15.4
"UKK3",2018,17.7
"UKK4",2018,17.7
"UKL",2018,7.8
"UKL1",2018,10.7
"UKL2",2018,10.3
"UKM",2018,7.6
"UKM5",2018,23.6
"UKM6",2018,20.7
"UKM7",2018,12.6
"UKM8",2018,20
"UKM9",2018,14.3
"UKN",2018,19.8
"UKN0",2018,19.8
"AT",2018,3495
"AT1",2018,1184
"AT11",2018,212
"AT12",2018,849
"AT13",2018,124
"AT2",2018,945
"AT21",2018,305
"AT22",2018,640
"AT3",2018,1365
"AT31",2018,745
"AT32",2018,220
"AT33",2018,285
"AT34",2018,115
"BE",2018,3601
"BE1",2018,102
"BE10",2018,102
"BE2",2018,2125
"BE21",2018,530
"BE22",2018,284
"BE23",2018,417
"BE24",2018,323
"BE25",2018,572
"BE3",2018,1374
"BE31",2018,149
"BE32",2018,431
"BE33",2018,414
"BE34",2018,156
"BE35",2018,225
"BG",2018,2555
"BG3",2018,1503
"BG31",2018,465
"BG32",2018,271
"BG33",2018,362
"BG34",2018,404
"BG4",2018,1053
"BG41",2018,550
"BG42",2018,503
"CY",2018,573
"CY0",2018,573
"CY00",2018,573
"CZ",2018,3450
"CZ0",2018,3450
"CZ01",2018,128
"CZ02",2018,542
"CZ03",2018,607
"CZ04",2018,456
"CZ05",2018,477
"CZ06",2018,478
"CZ07",2018,462
"CZ08",2018,299
"DE",2018,27016
"DE1",2018,2915
"DE11",2018,1042
"DE12",2018,738
"DE13",2018,485
"DE14",2018,649
"DE2",2018,4822
"DE21",2018,1348
"DE22",2018,596
"DE23",2018,536
"DE24",2018,463
"DE25",2018,503
"DE26",2018,705
"DE27",2018,671
"DE3",2018,265
"DE30",2018,265
"DE4",2018,1327
"DE40",2018,1327
"DE5",2018,152
"DE50",2018,152
"DE6",2018,203
"DE60",2018,203
"DE7",2018,1759
"DE71",2018,834
"DE72",2018,369
"DE73",2018,555
"DE8",2018,794
"DE80",2018,794
"DE9",2018,3505
"DE91",2018,573
"DE92",2018,642
"DE93",2018,912
"DE94",2018,1378
"DEA",2018,4906
"DEA1",2018,1088
"DEA2",2018,951
"DEA3",2018,1057
"DEA4",2018,669
"DEA5",2018,1141
"DEB",2018,1556
"DEB1",2018,453
"DEB2",2018,270
"DEB3",2018,833
"DEC",2018,274
"DEC0",2018,274
"DED",2018,1320
"DED2",2018,515
"DED4",2018,404
"DED5",2018,401
"DEE",2018,1203
"DEE0",2018,1203
"DEF",2018,1169
"DEF0",2018,1169
"DEG",2018,847
"DEG0",2018,847
"DK",2018,2947
"DK0",2018,2947
"DK01",2018,363
"DK02",2018,573
"DK03",2018,836
"DK04",2018,725
"DK05",2018,449
"EE",2018,785
"EE0",2018,785
"EE00",2018,785
"EL",2018,5332
"EL3",2018,664
"EL30",2018,664
"EL4",2018,717
"EL41",2018,175
"EL42",2018,232
"EL43",2018,310
"EL5",2018,1687
"EL51",2018,389
"EL52",2018,942
"EL53",2018,218
"EL54",2018,138
"EL6",2018,2263
"EL61",2018,431
"EL62",2018,158
"EL63",2018,452
"EL64",2018,499
"EL65",2018,723
"ES",2018,18440
"ES1",2018,2039
"ES11",2018,1488
"ES12",2018,346
"ES13",2018,204
"ES2",2018,2078
"ES21",2018,430
"ES22",2018,395
"ES23",2018,134
"ES24",2018,1119
"ES3",2018,940
"ES30",2018,940
"ES4",2018,5453
"ES41",2018,2503
"ES42",2018,1959
"ES43",2018,991
"ES5",2018,3823
"ES51",2018,1701
"ES52",2018,1665
"ES53",2018,456
"ES6",2018,4108
"ES61",2018,3300
"ES62",2018,808
"EU27_2007",2018,188733
"EU27_2020",2018,174792
"EU28",2018,190518
"EU_V",2018,178728
"FI",2018,5628
"FI1",2018,5607
"FI19",2018,1432
"FI1B",2018,524
"FI1C",2018,1157
"FI1D",2018,2493
"FR",2018,30893
"FR1",2018,1754
"FR10",2018,1754
"FRB",2018,1476
"FRB0",2018,1476
"FRC",2018,1784
"FRC1",2018,1138
"FRC2",2018,646
"FRD",2018,1951
"FRD1",2018,1177
"FRD2",2018,775
"FRE",2018,2401
"FRE1",2018,1125
"FRE2",2018,1276
"FRF",2018,3129
"FRF1",2018,738
"FRF2",2018,1074
"FRF3",2018,1317
"FRG",2018,2408
"FRG0",2018,2408
"FRH",2018,2121
"FRH0",2018,2121
"FRI",2018,4334
"FRI1",2018,2091
"FRI2",2018,740
"FRI3",2018,1504
"FRJ",2018,3488
"FRJ1",2018,1514
"FRJ2",2018,1974
"FRK",2018,3895
"FRK1",2018,1122
"FRK2",2018,2773
"FRL",2018,1849
"FRL0",2018,1849
"FRM",2018,300
"FRM0",2018,300
"HR",2018,1785
"HR0",2018,1785
"HR03",2018,620
"HR04",2018,1165
"HU",2018,3742
"HU1",2018,677
"HU11",2018,292
"HU12",2018,385
"HU2",2018,1348
"HU21",2018,491
"HU22",2018,450
"HU23",2018,407
"HU3",2018,1716
"HU31",2018,405
"HU32",2018,702
"HU33",2018,609
"IE",2018,2958
"IE0",2018,2958
"IE04",2018,727
"IE05",2018,1505
"IE06",2018,726
"IT",2018,19809
"ITC",2018,4516
"ITC1",2018,1611
"ITC2",2018,82
"ITC3",2018,241
"ITC4",2018,2582
"ITF",2018,4648
"ITF1",2018,555
"ITF2",2018,194
"ITF3",2018,1418
"ITF4",2018,1299
"ITF5",2018,354
"ITF6",2018,827
"ITG",2018,2466
"ITG1",2018,1479
"ITG2",2018,987
"ITH",2018,4402
"ITH1",2018,174
"ITH2",2018,181
"ITH3",2018,1722
"ITH4",2018,423
"ITH5",2018,1903
"ITI",2018,3776
"ITI1",2018,1333
"ITI2",2018,439
"ITI3",2018,679
"ITI4",2018,1325
"LT",2018,1392
"LT0",2018,1392
"LT01",2018,232
"LT02",2018,1160
"LU",2018,193
"LU0",2018,193
"LU00",2018,193
"LV",2018,1123
"LV0",2018,1123
"LV00",2018,1123
"MT",2018,87
"MT0",2018,87
"MT00",2018,87
"NL",2018,4711
"NL1",2018,601
"NL11",2018,219
"NL12",2018,207
"NL13",2018,174
"NL2",2018,1056
"NL21",2018,334
"NL22",2018,612
"NL23",2018,109
"NL3",2018,1800
"NL31",2018,266
"NL32",2018,563
"NL33",2018,764
"NL34",2018,207
"NL4",2018,1255
"NL41",2018,867
"NL42",2018,387
"PL",2018,11233
"PL2",2018,1637
"PL21",2018,642
"PL22",2018,994
"PL4",2018,2167
"PL41",2018,1234
"PL42",2018,543
"PL43",2018,390
"PL5",2018,974
"PL51",2018,779
"PL52",2018,195
"PL6",2018,1970
"PL61",2018,616
"PL62",2018,739
"PL63",2018,615
"PL7",2018,1184
"PL71",2018,766
"PL72",2018,418
"PL8",2018,1817
"PL81",2018,657
"PL82",2018,525
"PL84",2018,635
"PL9",2018,1485
"PL91",2018,601
"PL92",2018,884
"PT",2018,5707
"PT1",2018,5707
"PT11",2018,2004
"PT15",2018,300
"PT16",2018,1953
"PT17",2018,571
"PT18",2018,879
"RO",2018,6790
"RO1",2018,1723
"RO11",2018,859
"RO12",2018,864
"RO2",2018,1965
"RO21",2018,996
"RO22",2018,969
"RO3",2018,1561
"RO31",2018,1263
"RO32",2018,298
"RO4",2018,1541
"RO41",2018,723
"RO42",2018,818
"SE",2018,7988
"SE1",2018,1813
"SE11",2018,590
"SE12",2018,1222
"SE2",2018,2981
"SE21",2018,961
"SE22",2018,779
"SE23",2018,1241
"SE3",2018,3194
"SE31",2018,1366
"SE32",2018,664
"SE33",2018,1164
"SI",2018,880
"SI0",2018,880
"SI03",2018,561
"SI04",2018,319
"SK",2018,1679
"SK0",2018,1679
"SK01",2018,94
"SK02",2018,741
"SK03",2018,396
"SK04",2018,449
"UK",2018,15726
"UKC",2018,704
"UKC1",2018,338
"UKC2",2018,365
"UKD",2018,1381
"UKD1",2018,190
"UKD3",2018,401
"UKD4",2018,333
"UKD6",2018,232
"UKD7",2018,226
"UKE",2018,1350
"UKE1",2018,253
"UKE2",2018,318
"UKE3",2018,347
"UKE4",2018,433
"UKF",2018,1140
"UKF1",2018,417
"UKF2",2018,434
"UKF3",2018,289
"UKG",2018,1259
"UKG1",2018,452
"UKG2",2018,433
"UKG3",2018,374
"UKH",2018,1515
"UKH1",2018,745
"UKH2",2018,329
"UKH3",2018,441
"UKI",2018,646
"UKI3",2018,63
"UKI4",2018,103
"UKI5",2018,164
"UKI6",2018,120
"UKI7",2018,196
"UKJ",2018,2021
"UKJ1",2018,538
"UKJ2",2018,632
"UKJ3",2018,438
"UKJ4",2018,414
"UKK",2018,1802
"UKK1",2018,585
"UKK2",2018,543
"UKK3",2018,287
"UKK4",2018,387
"UKL",2018,1104
"UKL1",2018,693
"UKL2",2018,411
"UKM",2018,1732
"UKM5",2018,175
"UKM6",2018,333
"UKM7",2018,565
"UKM8",2018,196
"UKM9",2018,462
"UKN",2018,1073
"UKN0",2018,1073
"AT",2018,4.2
"AT1",2018,5
"AT11",2018,5.3
"AT12",2018,4.4
"AT13",2018,29.8
"AT2",2018,3.6
"AT21",2018,3.2
"AT22",2018,3.9
"AT3",2018,4
"AT31",2018,6.2
"AT32",2018,3.1
"AT33",2018,2.3
"AT34",2018,4.4
"BE",2018,11.7
"BE1",2018,62.8
"BE10",2018,62.8
"BE2",2018,15.6
"BE21",2018,18.4
"BE22",2018,11.7
"BE23",2018,13.9
"BE24",2018,15.1
"BE25",2018,18.1
"BE3",2018,8.1
"BE31",2018,13.6
"BE32",2018,11.3
"BE33",2018,10.7
"BE34",2018,3.5
"BE35",2018,6.1
"BG",2018,2.3
"BG3",2018,2.2
"BG31",2018,2.4
"BG32",2018,1.8
"BG33",2018,2.5
"BG34",2018,2
"BG4",2018,2.5
"BG41",2018,2.7
"BG42",2018,2.2
"CY",2018,6.2
"CY0",2018,6.2
"CY00",2018,6.2
"CZ",2018,4.4
"CZ0",2018,4.4
"CZ01",2018,25.9
"CZ02",2018,5
"CZ03",2018,3.4
"CZ04",2018,5.3
"CZ05",2018,3.8
"CZ06",2018,3.4
"CZ07",2018,5
"CZ08",2018,5.5
"DE",2018,7.6
"DE1",2018,8.2
"DE11",2018,9.9
"DE12",2018,10.7
"DE13",2018,5.2
"DE14",2018,7.3
"DE2",2018,6.8
"DE21",2018,7.7
"DE22",2018,5.8
"DE23",2018,5.5
"DE24",2018,6.4
"DE25",2018,6.9
"DE26",2018,8.3
"DE27",2018,6.7
"DE3",2018,29.8
"DE30",2018,29.8
"DE4",2018,4.5
"DE40",2018,4.5
"DE5",2018,36.2
"DE50",2018,36.2
"DE6",2018,27.3
"DE60",2018,27.3
"DE7",2018,8.3
"DE71",2018,11.2
"DE72",2018,6.9
"DE73",2018,6.7
"DE8",2018,3.4
"DE80",2018,3.4
"DE9",2018,7.3
"DE91",2018,7.1
"DE92",2018,7.1
"DE93",2018,5.9
"DE94",2018,9.2
"DEA",2018,14.4
"DEA1",2018,20.6
"DEA2",2018,12.9
"DEA3",2018,15.3
"DEA4",2018,10.3
"DEA5",2018,14.2
"DEB",2018,7.8
"DEB1",2018,5.6
"DEB2",2018,5.5
"DEB3",2018,12.2
"DEC",2018,10.7
"DEC0",2018,10.7
"DED",2018,7.2
"DED2",2018,6.5
"DED4",2018,6.2
"DED5",2018,10.1
"DEE",2018,5.9
"DEE0",2018,5.9
"DEF",2018,7.4
"DEF0",2018,7.4
"DEG",2018,5.2
"DEG0",2018,5.2
"DK",2018,6.9
"DK0",2018,6.9
"DK01",2018,14.2
"DK02",2018,7.9
"DK03",2018,6.8
"DK04",2018,5.6
"DK05",2018,5.7
"EE",2018,1.7
"EE0",2018,1.7
"EE00",2018,1.7
"EL",2018,4
"EL3",2018,17.4
"EL30",2018,17.4
"EL4",2018,4.1
"EL41",2018,4.5
"EL42",2018,4.4
"EL43",2018,3.7
"EL5",2018,3.3
"EL51",2018,2.7
"EL52",2018,5
"EL53",2018,2.3
"EL54",2018,1.5
"EL6",2018,3.9
"EL61",2018,3.1
"EL62",2018,6.9
"EL63",2018,4
"EL64",2018,3.2
"EL65",2018,4.7
"ES",2018,3.7
"ES1",2018,4.5
"ES11",2018,5
"ES12",2018,3.3
"ES13",2018,3.8
"ES2",2018,3
"ES21",2018,5.9
"ES22",2018,3.8
"ES23",2018,2.7
"ES24",2018,2.3
"ES3",2018,11.7
"ES30",2018,11.7
"ES4",2018,2.5
"ES41",2018,2.7
"ES42",2018,2.5
"ES43",2018,2.4
"ES5",2018,6.3
"ES51",2018,5.3
"ES52",2018,7.2
"ES53",2018,9.1
"ES6",2018,4.2
"ES61",2018,3.8
"ES62",2018,7.1
"EU27_2007",2018,4.4
"EU27_2020",2018,4.2
"EU28",2018,4.4
"EU_V",2018,4.5
"FI",2018,1.7
"FI1",2018,1.7
"FI19",2018,2.2
"FI1B",2018,5.5
"FI1C",2018,3.3
"FI1D",2018,1.1
"FI2",2018,1.3
"FI20",2018,1.3
"FR",2018,5.6
"FR1",2018,14.5
"FR10",2018,14.5
"FRB",2018,3.7
"FRB0",2018,3.7
"FRC",2018,3.7
"FRC1",2018,3.6
"FRC2",2018,4
"FRD",2018,6.5
"FRD1",2018,6.6
"FRD2",2018,6.3
"FRE",2018,7.5
"FRE1",2018,9
"FRE2",2018,6.5
"FRF",2018,5.4
"FRF1",2018,8.9
"FRF2",2018,4.2
"FRF3",2018,5.6
"FRG",2018,7.4
"FRG0",2018,7.4
"FRH",2018,7.7
"FRH0",2018,7.7
"FRI",2018,5.1
"FRI1",2018,5
"FRI2",2018,4.3
"FRI3",2018,5.8
"FRJ",2018,4.8
"FRJ1",2018,5.5
"FRJ2",2018,4.3
"FRK",2018,5.5
"FRK1",2018,4.3
"FRK2",2018,6.2
"FRL",2018,5.8
"FRL0",2018,5.8
"FRM",2018,3.4
"FRM0",2018,3.4
"HR",2018,3.2
"HR0",2018,3.2
"HR03",2018,2.5
"HR04",2018,3.7
"HU",2018,4
"HU1",2018,9.8
"HU11",2018,56
"HU12",2018,6
"HU2",2018,3.7
"HU21",2018,4.4
"HU22",2018,4
"HU23",2018,2.9
"HU3",2018,3.5
"HU31",2018,3
"HU32",2018,4
"HU33",2018,3.3
"IE",2018,4.2
"IE0",2018,4.2
"IE04",2018,2.8
"IE05",2018,5.1
"IE06",2018,5
"IT",2018,6.6
"ITC",2018,7.8
"ITC1",2018,6.3
"ITC2",2018,2.5
"ITC3",2018,4.5
"ITC4",2018,10.8
"ITF",2018,6.3
"ITF1",2018,5.1
"ITF2",2018,4.3
"ITF3",2018,10.4
"ITF4",2018,6.7
"ITF5",2018,3.5
"ITF6",2018,5.4
"ITG",2018,4.9
"ITG1",2018,5.7
"ITG2",2018,4.1
"ITH",2018,7.1
"ITH1",2018,2.4
"ITH2",2018,2.9
"ITH3",2018,9.4
"ITH4",2018,5.4
"ITH5",2018,8.5
"ITI",2018,6.5
"ITI1",2018,5.8
"ITI2",2018,5.2
"ITI3",2018,7.2
"ITI4",2018,7.7
"LT",2018,2.1
"LT0",2018,2.1
"LT01",2018,2.4
"LT02",2018,2.1
"LU",2018,7.4
"LU0",2018,7.4
"LU00",2018,7.4
"LV",2018,1.7
"LV0",2018,1.7
"LV00",2018,1.7
"MT",2018,27.5
"MT0",2018,27.5
"MT00",2018,27.5
"NL",2018,12.6
"NL1",2018,6.6
"NL11",2018,9.1
"NL12",2018,5.2
"NL13",2018,6.5
"NL2",2018,9.6
"NL21",2018,9.8
"NL22",2018,11.9
"NL23",2018,4.5
"NL3",2018,17.9
"NL31",2018,18.4
"NL32",2018,16.6
"NL33",2018,23.5
"NL34",2018,10.7
"NL4",2018,17.2
"NL41",2018,17.1
"NL42",2018,17.5
"PL",2018,3.6
"PL2",2018,5.9
"PL21",2018,4.2
"PL22",2018,8.1
"PL4",2018,3.3
"PL41",2018,4.1
"PL42",2018,2.4
"PL43",2018,2.8
"PL5",2018,3.3
"PL51",2018,3.9
"PL52",2018,2.1
"PL6",2018,3.3
"PL61",2018,3.4
"PL62",2018,3.1
"PL63",2018,3.4
"PL7",2018,4
"PL71",2018,4.2
"PL72",2018,3.6
"PL8",2018,2.9
"PL81",2018,2.6
"PL82",2018,2.9
"PL84",2018,3.1
"PL9",2018,4.2
"PL91",2018,9.8
"PL92",2018,3
"PT",2018,6.4
"PT1",2018,6.4
"PT11",2018,9.4
"PT15",2018,6
"PT16",2018,6.9
"PT17",2018,18.9
"PT18",2018,2.8
"RO",2018,2.8
"RO1",2018,2.5
"RO11",2018,2.5
"RO12",2018,2.5
"RO2",2018,2.7
"RO21",2018,2.7
"RO22",2018,2.7
"RO3",2018,4.3
"RO31",2018,3.7
"RO32",2018,16.5
"RO4",2018,2.5
"RO41",2018,2.5
"RO42",2018,2.6
"SE",2018,1.8
"SE1",2018,3.6
"SE11",2018,8.3
"SE12",2018,2.8
"SE2",2018,3.5
"SE21",2018,2.7
"SE22",2018,5.4
"SE23",2018,3.6
"SE3",2018,1
"SE31",2018,1.9
"SE32",2018,0.9
"SE33",2018,0.7
"SI",2018,4.3
"SI0",2018,4.3
"SI03",2018,4.5
"SI04",2018,4.1
"SK",2018,3.4
"SK0",2018,3.4
"SK01",2018,4.6
"SK02",2018,4.9
"SK03",2018,2.4
"SK04",2018,2.9
"UK",2018,6.4
"UKC",2018,8.2
"UKC1",2018,11.2
"UKC2",2018,6.6
"UKD",2018,9.8
"UKD1",2018,2.8
"UKD3",2018,31.5
"UKD4",2018,10.8
"UKD6",2018,10.3
"UKD7",2018,31.5
"UKE",2018,8.8
"UKE1",2018,7.2
"UKE2",2018,3.8
"UKE3",2018,22.5
"UKE4",2018,21.4
"UKF",2018,7.3
"UKF1",2018,8.7
"UKF2",2018,8.8
"UKF3",2018,4.9
"UKG",2018,9.7
"UKG1",2018,7.7
"UKG2",2018,7
"UKG3",2018,41.5
"UKH",2018,7.9
"UKH1",2018,5.9
"UKH2",2018,11.4
"UKH3",2018,12
"UKI",2018,41.1
"UKI3",2018,57.2
"UKI4",2018,50.5
"UKI5",2018,37.4
"UKI6",2018,33.8
"UKI7",2018,42.3
"UKJ",2018,10.6
"UKJ1",2018,9.4
"UKJ2",2018,11.6
"UKJ3",2018,10.6
"UKJ4",2018,11.1
"UKK",2018,7.6
"UKK1",2018,7.9
"UKK2",2018,8.9
"UKK3",2018,8
"UKK4",2018,5.8
"UKL",2018,5.3
"UKL1",2018,5.3
"UKL2",2018,5.4
"UKM",2018,2.2
"UKM5",2018,2.7
"UKM6",2018,0.8
"UKM7",2018,4.2
"UKM8",2018,9.9
"UKM9",2018,2.9
"UKN",2018,7.5
"UKN0",2018,7.5
